"Part";"Value";"Device";"Package";"Description";"";
"BSS138";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";
"C1";"1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"C2";"1uF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";
"CONN_LED";"";"LED0603";"LED-0603";"LEDs";"";
"JP1";"M13";"M13";"1X13";"";"";
"JP2";"M13";"M13";"1X13";"";"";
"JP3";"";"M081X08";"1X08";"Header 8";"";
"R1";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R2";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R3";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R4";"20k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R5";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R6";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R7";"470";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"RX_LED";"";"LED0603";"LED-0603";"LEDs";"";
"SJ1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"TX_LED";"";"LED0603";"LED-0603";"LEDs";"";
"U$1";"BLE-HM-10";"BLE-HM-10";"BLE-HM-10";"";"";
"U1";"V_REG_LDOSMD";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
